项目,结果,学年,学期,学位,国家,分数制,GPA
ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,100,93.5
ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,其他,3.78
ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,4.0,3.7
ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,5.0,4.43
ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,4.0,3.83
ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,100,89.7
ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,100,88.0
ECE@GaTech-Shenzhen,Admit,2023,Fall,Master,中国,100,89.7
