项目,结果,学年,学期,学位,国家,分数制,GPA
MSCS@TU Delft,Admit,2024,Fall,Master,荷兰,4.0,3.81
MSCS@TU Delft,Admit,2023,Fall,Master,荷兰,100,90.52
MSCS@TU Delft,Admit,2023,Fall,Master,荷兰,4.0,3.92
