项目,结果,学年,学期,学位,国家,分数制,GPA
MPhil-CSE@HKUST,Admit,2023,Fall,Master,中国香港,100,93.0
MSc IT@HKUST,Admit,2024,Fall,Master,中国香港,100,85.14
MSc IT@HKUST,Admit,2023,Fall,Master,中国香港,5.0,4.41
MSc IT@HKUST,Admit,2023,Fall,Master,中国香港,100,90.52
