项目,结果,学年,学期,学位,国家,分数制,GPA
AC@IC,Reject,2024,Fall,Master,英国,4.0,3.92
AC@IC,Admit,2024,Fall,Master,英国,100,93.5
AC@IC,Admit,2024,Fall,Master,英国,100,90.52
AC@IC,Reject,2023,Fall,Master,英国,4.0,3.8
AC@IC,Reject,2023,Fall,Master,英国,5.0,4.41
MSc Computing (SE)@IC,Reject,2023,Fall,Master,英国,5.0,4.41
MSc CS@Edinburgh,Reject,2023,Fall,Master,英国,5.0,4.41
MSc CS@Edinburgh,Admit,2023,Fall,Master,英国,100,90.52
MSc SSE@UCL,Admit,2023,Fall,Master,英国,5.0,4.41
